"Gene symbol","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8_Tcell"
"ARID5B",16.5599452736811,15.0336873400413,18.2379541682376,19.7797734911462,16.8504007727186,14.3288507766564,2329.72265149296,14.830404060097,351.856901299685
"ZNF460",10.7553084865839,14.2855631040132,12.8030710204469,12.0615507422784,14.1345005444139,11.5714600059941,969.054167225018,10.6797650231753,405.502781428884
"RBM47",67.2410803890569,45.188068899119,154.22640724162,176.827396044539,74.1022015494495,66.5642663965831,53.0893289214821,59.2968268988626,27.8402160124627
"GRN",64.0267999070568,140.379260621526,7737.62985022079,5052.40999172267,4855.42713269235,238.532328664153,35.8252036384856,153.109288761079,53.7418656389526
"CTSB",89.8872757335343,70.6254133009647,9184.51611623441,3922.87731066543,5024.2916609331,78.1907477747128,20.4655707990377,45.0018997244301,39.4236787484976
"TFEC",10.1799671440838,13.3293590116565,1584.71753777427,1749.29816514308,1470.38832364037,9.47635338846076,8.06130551649217,9.58150976293729,6.06329913473537
"FCER1G",11.7146341972377,2203.907563213,3958.07710054181,6360.6588711503,3207.78892694545,15.2533053547301,17.1322650849011,22.5900255914806,10.6316602355933
"CD8B",70.8386591705785,63.1142119381121,43.7720789156737,53.5002786303231,43.6017156955868,241.142979720571,33.5523753282314,2668.95450838346,956.562550116202
"RAB7A",28.8668343589488,44.958063814851,36.8864744491345,36.5351063050279,41.9240009608276,16.4570631836227,74.4503125351238,30.5909286839857,139.053813462801
"TRBC1",8584.78923651556,4603.45714258195,36.3122142369884,226.122540384781,53.512183779824,2723.61675861385,6750.44315319272,7790.65547110272,7596.16222009279
"OSGIN2",13.5571310160924,12.7934237332734,11.2650280438619,16.5524343127873,13.9903097550404,9.81728433311434,729.190016988431,9.63045525915327,186.304795549673
"AKT2",162.22372309347,80.7381989804696,46.2048374989382,36.4578606172781,30.8277886473181,85.8964736618629,50.6289970525741,113.12217860702,64.360806528752
"LINC01578",12.7251697813852,61.4327686931309,14.4369592007948,14.9129162299487,12.8041226815277,13.4409574009618,52.2527296667182,194.659237665083,143.641418999264
"PSAP",765.714623651221,2963.11930538471,20124.7884866386,14652.5485790075,20182.7829909434,1123.31357536451,3514.09505277092,1907.75871266205,4197.3309337256
"SLC7A1",26.5845289778248,22.1550549506888,22.1331210711899,29.1464950397269,22.7346596308374,28.1103205468375,2924.85927900003,27.8413063350614,196.857927363563
"LRIG1",13.3712644978673,11.9896363762488,13.4717839334896,14.5487721875301,13.5730025824983,14.8359869621236,1985.75992679962,14.9190524100271,201.719116303581
"HBG2",30.1647558438447,28.9052070218769,26.6603534132212,32.311996729124,23.5812697790561,10543.7321086687,27.4636695782037,42.0933375693168,29.1814365259016
"PDGFC",12.3126892985246,12.2375894495211,345.43967956908,27.5452757427206,191.828530907016,12.1501481500721,13.4030645595346,12.7189617236473,8.4125606452809
"JMJD1C",338.807969460619,195.381695052771,227.676882094751,80.0204313257604,63.0712228537644,93.4621292579281,37.8305802585275,804.481815262575,64.3206463974306
"IRF2BP2",425.613174876468,716.869647959423,572.367521627157,205.810175167661,349.921621357873,394.075158971182,1301.71914932569,300.099894181294,1207.7770925793
"FOXP3",27.1431452567615,21.5371060163664,25.9815572732138,36.4526931328846,31.8016452546854,48.1361549232375,1470.16717484458,24.2249200637762,34.0614630581992
"RAB31",17.0502501433805,101.04803802346,2944.62254620091,3413.5637977032,2527.36707270827,54.6779026651508,22.1296388222772,67.7161478379563,16.2339930964086
"BCL11B",19.6223374058387,16.9675751761763,13.2751108244414,16.9610608181252,16.55631847141,16.2762111894673,131.33230295522,18.5436585267569,249.3533024425
